               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.039899,            0.016102,                   0,             0.74827,                0.75,             0.68566,              0.3399,            0.045374,           0.0075044,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.038679,            0.014831,                   0,             0.74896,                0.75,             0.65962,             0.27628,             0.04584,           0.0075358,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.031674,            0.013053,                   0,             0.74565,                0.75,             0.65727,             0.28953,            0.047014,           0.0074328,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.036852,            0.015255,                   0,             0.74541,                0.75,             0.65681,             0.28683,            0.047431,           0.0073404,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.033589,            0.014878,                   0,             0.74707,                0.75,             0.65799,              0.3281,            0.045674,           0.0073583,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.037735,            0.014792,                   0,             0.74245,                0.75,             0.66164,             0.31566,             0.04925,           0.0071929,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.036322,            0.014341,                   0,             0.73872,                0.75,             0.65387,             0.27294,            0.045763,           0.0073078,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.037847,            0.013501,                   0,             0.69312,                0.75,             0.62755,             0.28928,            0.045624,           0.0073007,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.039699,            0.014685,                   0,             0.73922,                0.75,             0.64088,             0.30674,            0.045795,           0.0072269,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.028428,            0.011492,                   0,             0.74069,                0.75,             0.64934,             0.29207,            0.046863,           0.0071742,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.03703,            0.013479,                   0,             0.74122,                0.75,             0.66325,             0.30789,            0.042319,           0.0073205,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.034277,            0.014391,                   0,             0.74302,                0.75,             0.65361,             0.31905,            0.044955,           0.0072829,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.033146,            0.013536,                   0,             0.74125,                0.75,             0.65664,             0.31655,            0.043022,            0.007281,                   0,            0.003169,            0.003169,            0.003169
                  71,              0.0359,            0.015732,                   0,             0.74115,                0.75,             0.64557,             0.32374,            0.043165,           0.0073158,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.036542,            0.012685,                   0,             0.74033,                0.75,             0.64258,             0.26776,            0.045924,            0.007149,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.034642,            0.014495,                   0,             0.74009,                0.75,             0.65835,             0.33605,             0.04289,           0.0072688,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.031619,            0.014702,                   0,             0.74054,                0.75,             0.65181,             0.33661,            0.041983,           0.0072871,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.034772,             0.01284,                   0,             0.73985,                0.75,             0.64479,             0.31321,            0.042993,           0.0071403,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.034468,            0.013469,                   0,             0.74112,                0.75,             0.66848,             0.33152,            0.041918,           0.0072112,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.032471,            0.014063,                   0,             0.74059,                0.75,             0.66195,             0.33769,            0.041839,            0.007148,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.03189,             0.01376,                   0,             0.74095,                0.75,             0.66916,             0.31911,             0.04117,            0.007195,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.033003,            0.013532,                   0,             0.74184,                0.75,             0.68171,             0.31985,            0.042649,           0.0070807,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.035041,            0.013966,                   0,              0.7429,                0.75,             0.66755,             0.32551,            0.040751,           0.0071357,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.030463,            0.010656,                   0,             0.74321,                0.75,             0.66739,             0.32438,            0.041944,            0.007081,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.02827,            0.013327,                   0,             0.74359,                0.75,             0.65925,             0.32639,            0.041882,           0.0070923,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.03467,            0.013947,                   0,             0.74393,                0.75,              0.6559,             0.33179,            0.042146,           0.0071185,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.030924,            0.013423,                   0,             0.74381,                0.75,             0.65812,             0.34359,            0.041239,           0.0071797,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.026399,            0.014774,                   0,             0.74376,                0.75,             0.65767,             0.34166,            0.040746,           0.0071706,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.02979,            0.013548,                   0,             0.74376,                0.75,             0.65136,             0.34582,            0.040072,           0.0072058,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.02742,            0.013129,                   0,             0.74389,                0.75,             0.65536,             0.34691,            0.039575,           0.0072279,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.03687,             0.01189,                   0,             0.74405,                0.75,             0.65595,             0.31757,            0.042077,           0.0071488,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.030849,            0.013953,                   0,             0.74416,                0.75,             0.65668,             0.33478,            0.039942,           0.0072041,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.028902,            0.013221,                   0,              0.7443,                0.75,             0.65671,             0.34193,            0.039475,           0.0071905,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.025645,            0.013049,                   0,             0.74457,                0.75,             0.65436,             0.34176,            0.039918,           0.0071352,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.030605,              0.0135,                   0,             0.74462,                0.75,             0.65715,             0.34018,            0.039344,           0.0071442,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.031058,            0.015364,                   0,             0.74446,                0.75,             0.64697,             0.35239,            0.039126,           0.0071473,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023176,             0.00996,                   0,               0.744,                0.75,             0.64123,             0.32456,            0.038875,            0.007142,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.026959,            0.012259,                   0,             0.74338,                0.75,              0.6405,              0.3325,            0.038587,            0.007145,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.027048,            0.014401,                   0,             0.74314,                0.75,             0.64659,             0.34195,            0.038418,           0.0071391,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.025676,            0.011726,                   0,             0.74317,                0.75,             0.64695,             0.33228,            0.038723,           0.0071283,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.028951,            0.014036,                   0,             0.74299,                0.75,              0.6545,             0.33762,            0.038825,           0.0071162,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.026396,            0.012346,                   0,             0.74313,                0.75,             0.66871,             0.33415,            0.038984,           0.0071204,                   0,            0.000298,            0.000298,            0.000298
